date,description,category,incident_code,pd_district,dayofweek
2008-12-02,POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16621,MISSION,Tuesday
2008-12-02,POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16621,TENDERLOIN,Tuesday
2008-12-16,POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16621,TENDERLOIN,Tuesday
2008-12-30,SALE OF MARIJUANA,DRUG/NARCOTIC,16040,CENTRAL,Tuesday
2008-12-30,POSSESSION OF NARCOTICS PARAPHERNALIA,DRUG/NARCOTIC,16710,TENDERLOIN,Tuesday
2008-12-15,POSSESSION OF COCAINE,DRUG/NARCOTIC,16620,SOUTHERN,Monday
2008-12-29,POSSESSION OF HALLUCINOGENIC,DRUG/NARCOTIC,16410,TENDERLOIN,Monday
2008-12-31,POSSESSION OF BASE/ROCK COCAINE FOR SALE,DRUG/NARCOTIC,16623,TENDERLOIN,Wednesday
2008-12-26,POSSESSION OF NARCOTICS PARAPHERNALIA,DRUG/NARCOTIC,16710,TENDERLOIN,Friday
2008-12-03,POSSESSION OF BASE/ROCK COCAINE FOR SALE,DRUG/NARCOTIC,16623,TENDERLOIN,Wednesday
2008-12-21,SALE OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16625,MISSION,Sunday
2008-12-17,SALE OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16625,TENDERLOIN,Wednesday
2008-12-20,POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16621,TENDERLOIN,Saturday
2008-12-26,POSSESSION OF CONTROLLED SUBSTANCE,DRUG/NARCOTIC,16660,TENDERLOIN,Friday
2008-12-11,POSSESSION OF MARIJUANA,DRUG/NARCOTIC,16010,SOUTHERN,Thursday
2008-12-02,POSSESSION OF METH-AMPHETAMINE,DRUG/NARCOTIC,16650,MISSION,Tuesday
2008-12-02,SALE OF MARIJUANA,DRUG/NARCOTIC,16040,SOUTHERN,Tuesday
2008-12-21,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,DRUG/NARCOTIC,16662,SOUTHERN,Sunday
2008-12-03,POSSESSION OF BASE/ROCK COCAINE FOR SALE,DRUG/NARCOTIC,16623,NORTHERN,Wednesday
2008-12-11,POSSESSION OF BASE/ROCK COCAINE FOR SALE,DRUG/NARCOTIC,16623,TENDERLOIN,Thursday
2008-12-06,POSSESSION OF MARIJUANA,DRUG/NARCOTIC,16010,CENTRAL,Saturday
2008-12-05,SALE OF HEROIN,DRUG/NARCOTIC,16120,TENDERLOIN,Friday
2008-12-20,POSSESSION OF CONTROLLED SUBSTANCE,DRUG/NARCOTIC,16660,TENDERLOIN,Saturday
2008-12-04,POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16621,CENTRAL,Thursday
2008-12-03,POSSESSION OF MARIJUANA,DRUG/NARCOTIC,16010,SOUTHERN,Wednesday
2008-12-28,POSSESSION OF BASE/ROCK COCAINE FOR SALE,DRUG/NARCOTIC,16623,SOUTHERN,Sunday
2008-12-30,POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16621,TENDERLOIN,Tuesday
2008-12-30,POSSESSION OF METH-AMPHETAMINE,DRUG/NARCOTIC,16650,SOUTHERN,Tuesday
2008-12-27,SALE OF HEROIN,DRUG/NARCOTIC,16120,TENDERLOIN,Saturday
2008-12-02,POSSESSION OF NARCOTICS PARAPHERNALIA,DRUG/NARCOTIC,16710,TENDERLOIN,Tuesday
2008-12-14,POSSESSION OF MARIJUANA FOR SALES,DRUG/NARCOTIC,16030,CENTRAL,Sunday
2008-12-06,SALE OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16625,TENDERLOIN,Saturday
2008-12-02,POSSESSION OF NARCOTICS PARAPHERNALIA,DRUG/NARCOTIC,16710,TENDERLOIN,Tuesday
2008-12-07,POSSESSION OF NARCOTICS PARAPHERNALIA,DRUG/NARCOTIC,16710,MISSION,Sunday
2008-12-06,POSSESSION OF HEROIN,DRUG/NARCOTIC,16100,TENDERLOIN,Saturday
2008-12-17,POSSESSION OF MARIJUANA,DRUG/NARCOTIC,16010,CENTRAL,Wednesday
2008-12-05,POSSESSION OF NARCOTICS PARAPHERNALIA,DRUG/NARCOTIC,16710,SOUTHERN,Friday
2008-12-04,POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16621,NORTHERN,Thursday
2008-12-27,POSSESSION OF METH-AMPHETAMINE,DRUG/NARCOTIC,16650,MISSION,Saturday
2008-12-04,POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16621,TENDERLOIN,Thursday
2008-12-24,"CONTROLLED SUBSTANCE VIOLATION, LOITERING FOR",DRUG/NARCOTIC,16645,MISSION,Wednesday
2008-12-27,SALE OF MARIJUANA,DRUG/NARCOTIC,16040,TENDERLOIN,Saturday
2008-12-02,SALE OF MARIJUANA,DRUG/NARCOTIC,16040,TENDERLOIN,Tuesday
2008-12-20,POSSESSION OF BASE/ROCK COCAINE FOR SALE,DRUG/NARCOTIC,16623,TENDERLOIN,Saturday
2008-12-26,POSSESSION OF CONTROLLED SUBSTANCE,DRUG/NARCOTIC,16660,TENDERLOIN,Friday
2008-12-01,SALE OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16625,TENDERLOIN,Monday
2008-12-12,POSSESSION OF NARCOTICS PARAPHERNALIA,DRUG/NARCOTIC,16710,MISSION,Friday
2008-12-27,SALE OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16625,TENDERLOIN,Saturday
2008-12-02,POSSESSION OF COCAINE,DRUG/NARCOTIC,16620,TENDERLOIN,Tuesday
2008-12-17,POSSESSION OF HEROIN FOR SALES,DRUG/NARCOTIC,16110,TENDERLOIN,Wednesday
2008-12-06,POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16621,TENDERLOIN,Saturday
2008-12-20,SALE OF MARIJUANA,DRUG/NARCOTIC,16040,PARK,Saturday
2008-12-30,POSSESSION OF CONTROLLED SUBSTANCE,DRUG/NARCOTIC,16660,NORTHERN,Tuesday
2008-12-04,POSSESSION OF NARCOTICS PARAPHERNALIA,DRUG/NARCOTIC,16710,MISSION,Thursday
2008-12-28,POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16621,TENDERLOIN,Sunday
2008-12-21,POSSESSION OF METH-AMPHETAMINE,DRUG/NARCOTIC,16650,MISSION,Sunday
2008-12-29,POSSESSION OF HEROIN,DRUG/NARCOTIC,16100,MISSION,Monday
2008-12-26,POSSESSION OF MARIJUANA,DRUG/NARCOTIC,16010,TENDERLOIN,Friday
2008-12-24,SALE OF HEROIN,DRUG/NARCOTIC,16120,TENDERLOIN,Wednesday
2008-12-28,POSSESSION OF HEROIN,DRUG/NARCOTIC,16100,TENDERLOIN,Sunday
2008-12-09,POSSESSION OF NARCOTICS PARAPHERNALIA,DRUG/NARCOTIC,16710,CENTRAL,Tuesday
2008-12-05,POSSESSION OF METH-AMPHETAMINE FOR SALE,DRUG/NARCOTIC,16652,SOUTHERN,Friday
2008-12-13,POSSESSION OF MARIJUANA FOR SALES,DRUG/NARCOTIC,16030,PARK,Saturday
2008-12-09,POSSESSION OF BASE/ROCK COCAINE FOR SALE,DRUG/NARCOTIC,16623,BAYVIEW,Tuesday
2008-12-01,POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16621,TENDERLOIN,Monday
2008-12-29,POSSESSION OF NARCOTICS PARAPHERNALIA,DRUG/NARCOTIC,16710,SOUTHERN,Monday
2008-12-03,POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16621,TENDERLOIN,Wednesday
2008-12-16,POSSESSION OF MARIJUANA,DRUG/NARCOTIC,16010,TARAVAL,Tuesday
2008-12-24,POSSESSION OF MARIJUANA FOR SALES,DRUG/NARCOTIC,16030,SOUTHERN,Wednesday
2008-12-13,POSSESSION OF NARCOTICS PARAPHERNALIA,DRUG/NARCOTIC,16710,TENDERLOIN,Saturday
2008-12-11,POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16621,NORTHERN,Thursday
2008-12-04,POSSESSION OF NARCOTICS PARAPHERNALIA,DRUG/NARCOTIC,16710,MISSION,Thursday
2008-12-30,POSSESSION OF NARCOTICS PARAPHERNALIA,DRUG/NARCOTIC,16710,TENDERLOIN,Tuesday
2008-12-01,SALE OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16625,BAYVIEW,Monday
2008-12-02,SALE OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16625,TENDERLOIN,Tuesday
2008-12-15,POSSESSION OF BASE/ROCK COCAINE FOR SALE,DRUG/NARCOTIC,16623,TENDERLOIN,Monday
2008-12-03,POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16621,CENTRAL,Wednesday
2008-12-22,POSSESSION OF NARCOTICS PARAPHERNALIA,DRUG/NARCOTIC,16710,TENDERLOIN,Monday
2008-12-12,POSSESSION OF METHADONE,DRUG/NARCOTIC,16630,MISSION,Friday
2008-12-10,POSSESSION OF MARIJUANA,DRUG/NARCOTIC,16010,BAYVIEW,Wednesday
2008-12-05,SALE OF CONTROLLED SUBSTANCE,DRUG/NARCOTIC,16664,TENDERLOIN,Friday
2008-12-20,TRANSPORTATION OF HEROIN,DRUG/NARCOTIC,16130,MISSION,Saturday
2008-12-20,POSSESSION OF MARIJUANA,DRUG/NARCOTIC,16010,SOUTHERN,Saturday
2008-12-18,POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16621,TENDERLOIN,Thursday
2008-12-11,POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16621,TENDERLOIN,Thursday
2008-12-01,POSSESSION OF COCAINE FOR SALES,DRUG/NARCOTIC,16622,TENDERLOIN,Monday
2008-12-05,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,DRUG/NARCOTIC,16662,TENDERLOIN,Friday
2008-12-23,POSSESSION OF CONTROLLED SUBSTANCE,DRUG/NARCOTIC,16660,TENDERLOIN,Tuesday
2008-12-02,"CONTROLLED SUBSTANCE VIOLATION, LOITERING FOR",DRUG/NARCOTIC,16645,TENDERLOIN,Tuesday
2008-12-07,FURNISHING MARIJUANA,DRUG/NARCOTIC,16050,PARK,Sunday
2008-12-03,POSSESSION OF AMPHETAMINE FOR SALES,DRUG/NARCOTIC,16642,RICHMOND,Wednesday
2008-12-29,POSSESSION OF NARCOTICS PARAPHERNALIA,DRUG/NARCOTIC,16710,TENDERLOIN,Monday
2008-12-05,POSSESSION OF HEROIN FOR SALES,DRUG/NARCOTIC,16110,PARK,Friday
2008-12-22,POSSESSION OF MARIJUANA,DRUG/NARCOTIC,16010,PARK,Monday
2008-12-03,POSSESSION OF NARCOTICS PARAPHERNALIA,DRUG/NARCOTIC,16710,MISSION,Wednesday
2008-12-06,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,DRUG/NARCOTIC,16662,TENDERLOIN,Saturday
2008-12-09,SALE OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16625,TENDERLOIN,Tuesday
2008-12-05,POSSESSION OF HEROIN FOR SALES,DRUG/NARCOTIC,16110,TENDERLOIN,Friday
2008-12-08,SALE OF CONTROLLED SUBSTANCE,DRUG/NARCOTIC,16664,TENDERLOIN,Monday
2008-12-27,POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16621,TENDERLOIN,Saturday
2008-12-13,POSSESSION OF CONTROLLED SUBSTANCE,DRUG/NARCOTIC,16660,TENDERLOIN,Saturday
2008-12-29,POSSESSION OF BASE/ROCK COCAINE,DRUG/NARCOTIC,16621,TENDERLOIN,Monday
