date,description,category,incident_code,pd_district,X,Y,dayofweek
2008-12-18,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.419208249507,37.7602340753605,Thursday
2008-12-02,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,MISSION,-122.413591695561,37.7638222259421,Tuesday
2008-12-06,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416872883664,37.7587640201132,Saturday
2008-12-01,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416535463075,37.7660406107786,Monday
2008-12-10,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,MISSION,-122.416078423909,37.7620347866519,Wednesday
2008-12-02,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.418486296575,37.7634954373144,Tuesday
2008-12-04,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.41733258259,37.7635718955893,Thursday
2008-12-19,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416872883664,37.7587640201132,Friday
2008-12-13,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416078423909,37.7620347866519,Saturday
2008-12-25,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,MISSION,-122.415000536786,37.7620990020681,Thursday
2008-12-16,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.415929849548,37.7604330003754,Tuesday
2008-12-02,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,MISSION,-122.416078423909,37.7620347866519,Tuesday
2008-12-07,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.415781281593,37.7588312134679,Sunday
2008-12-05,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.415629332446,37.757232227914,Friday
2008-12-07,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,NORTHERN,-122.41827417166,37.7870372043685,Sunday
2008-12-11,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.415929849548,37.7604330003754,Thursday
2008-12-18,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416230392543,37.7636337702985,Thursday
2008-12-23,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.417028392106,37.7603656931573,Tuesday
2008-12-29,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416569016036,37.755568796919,Monday
2008-12-03,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416230392543,37.7636337702985,Wednesday
2008-12-01,ENGAGING IN LEWD CONDUCT - PROSTITUTION RELATED,PROSTITUTION,13111,MISSION,-122.416535463075,37.7660406107786,Monday
2008-12-20,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,CENTRAL,-122.41827417166,37.7870372043685,Saturday
2008-12-26,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.413591695561,37.7638222259421,Friday
2008-12-06,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,NORTHERN,-122.41827417166,37.7870372043685,Saturday
2008-12-17,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416230392543,37.7636337702985,Wednesday
2008-12-03,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,MISSION,-122.416230392543,37.7636337702985,Wednesday
2008-12-20,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,CENTRAL,-122.41827417166,37.7870372043685,Saturday
2008-12-29,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416872883664,37.7587640201132,Monday
2008-12-29,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416872883664,37.7587640201132,Monday
2008-12-15,PIMPING,PROSTITUTION,13030,MISSION,-122.416230392543,37.7636337702985,Monday
2008-12-15,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,NORTHERN,-122.420211964949,37.7882225424263,Monday
2008-12-29,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416331137192,37.7588520014309,Monday
2008-12-16,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416230392543,37.7636337702985,Tuesday
2008-12-16,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,MISSION,-122.416230392543,37.7636337702985,Tuesday
2008-12-26,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,TENDERLOIN,-122.415885065788,37.7835160564153,Friday
2008-12-04,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416230392543,37.7636337702985,Thursday
2008-12-16,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,MISSION,-122.416230392543,37.7636337702985,Tuesday
2008-12-03,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416230392543,37.7636337702985,Wednesday
2008-12-03,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416230392543,37.7636337702985,Wednesday
2008-12-06,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,NORTHERN,-122.419295456225,37.7878052240334,Saturday
2008-12-06,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416872883664,37.7587640201132,Saturday
2008-12-16,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,MISSION,-122.415929849548,37.7604330003754,Tuesday
2008-12-02,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.41796448376,37.7586968166489,Tuesday
2008-12-04,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,MISSION,-122.413704070467,37.7599911968915,Thursday
2008-12-03,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,MISSION,-122.416230392543,37.7636337702985,Wednesday
2008-12-06,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,NORTHERN,-122.41827417166,37.7870372043685,Saturday
2008-12-23,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TARAVAL,-122.463079076106,37.72547657256,Tuesday
2008-12-04,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416389710283,37.7652491154383,Thursday
2008-12-25,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.415000536786,37.7620990020681,Thursday
2008-12-19,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,MISSION,-122.416720982004,37.7571677817188,Friday
2008-12-03,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,MISSION,-122.415000536786,37.7620990020681,Wednesday
2008-12-16,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416230392543,37.7636337702985,Tuesday
2008-12-04,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,MISSION,-122.416230392543,37.7636337702985,Thursday
2008-12-20,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,CENTRAL,-122.41827417166,37.7870372043685,Saturday
2008-12-11,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416078423909,37.7620347866519,Thursday
2008-12-17,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,MISSION,-122.416389710283,37.7652491154383,Wednesday
2008-12-31,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,NORTHERN,-122.41827417166,37.7870372043685,Wednesday
2008-12-03,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416230392543,37.7636337702985,Wednesday
2008-12-20,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,CENTRAL,-122.41827417166,37.7870372043685,Saturday
2008-12-06,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.415929849548,37.7604330003754,Saturday
2008-12-17,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416230392543,37.7636337702985,Wednesday
2008-12-20,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,CENTRAL,-122.41827417166,37.7870372043685,Saturday
2008-12-23,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TARAVAL,-122.481592052499,37.7427355500502,Tuesday
2008-12-03,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.415000536786,37.7620990020681,Wednesday
2008-12-06,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.41733258259,37.7635718955893,Saturday
2008-12-05,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416078423909,37.7620347866519,Friday
2008-12-29,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,MISSION,-122.416331137192,37.7588520014309,Monday
2008-12-11,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,SOUTHERN,-122.422188261426,37.7726948236861,Thursday
2008-12-02,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TENDERLOIN,-122.416075285051,37.7844496612791,Tuesday
2008-12-15,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,TARAVAL,-122.496417011021,37.7617599775826,Monday
2008-12-17,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416230392543,37.7636337702985,Wednesday
2008-12-18,SOLICITS FOR ACT OF PROSTITUTION,PROSTITUTION,13060,MISSION,-122.416230392543,37.7636337702985,Thursday
2008-12-06,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,NORTHERN,-122.41827417166,37.7870372043685,Saturday
2008-12-24,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.413591695561,37.7638222259421,Wednesday
2008-12-17,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416078423909,37.7620347866519,Wednesday
2008-12-17,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,MISSION,-122.416230392543,37.7636337702985,Wednesday
2008-12-22,SOLICITS TO VISIT HOUSE OF PROSTITUTION,PROSTITUTION,13070,NORTHERN,-122.419104424644,37.7868764841608,Monday
