date,description,category,incident_code,pd_district,Latitude,Longitude,dayofweek
2017-12-02,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,B,40.88358821100008,-73.82718749799993,Saturday
2017-12-08,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,K,40.63919835300004,-74.01646791399996,Friday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67385854500003,-73.90022835899998,Saturday
2017-12-13,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,Q,40.70544320500005,-73.78006898399997,Wednesday
2017-12-08,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67385854500003,-73.90022835899998,Friday
2017-12-16,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,B,40.84667015600007,-73.83342429099997,Saturday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.74643684200005,-73.89542079099994,Saturday
2017-12-06,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,B,40.835892630000046,-73.88339793399997,Wednesday
2017-12-09,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,S,40.58739191500007,-74.19104449699995,Saturday
2017-12-19,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,Q,40.68485081700004,-73.79280352899997,Tuesday
2017-12-17,LOITERING FOR PROSTITUTION OR TO PATRONIZE,PROSTITUTION & RELATED OFFENSES,617.0,Q,40.69017849400007,-73.79590971,Sunday
2017-12-08,"PROSTITUTION 3,PROMOTING BUSINESS",PROSTITUTION & RELATED OFFENSES,585.0,K,40.63956594700005,-74.01785883399998,Friday
2017-12-19,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67385854500003,-73.90022835899998,Tuesday
2017-12-14,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,M,40.84840119800003,-73.93767303599996,Thursday
2017-12-22,"PROSTITUTION 3, PROMOTING UNDER 19",PROSTITUTION & RELATED OFFENSES,584.0,Q,40.726293088000034,-73.73476084899994,Friday
2017-12-17,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,B,40.86559123400008,-73.89887415799996,Sunday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67385854500003,-73.90022835899998,Saturday
2017-12-26,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67378484500005,-73.90070072999998,Tuesday
2017-12-26,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,M,40.825817779000026,-73.94897843799998,Tuesday
2017-12-29,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,M,40.71319841300004,-73.99241918199994,Friday
2017-12-20,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,K,40.67175854900006,-73.89684286899995,Wednesday
2017-12-01,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.673722103000046,-73.90115145299995,Friday
2017-12-26,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67385854500003,-73.90022835899998,Tuesday
2017-12-26,"PROSTITUTION 4,PROMOTING&SECURING",PROSTITUTION & RELATED OFFENSES,576.0,M,40.825817779000026,-73.94897843799998,Tuesday
2017-12-01,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,M,40.741483051000046,-74.00871645499996,Friday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.673722103000046,-73.90115145299995,Saturday
2017-12-20,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67392402100006,-73.89977041999998,Wednesday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,M,40.80891636100006,-73.95028100499997,Saturday
2017-12-01,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,K,40.68428038900004,-73.87237749099995,Friday
2017-12-19,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,Q,40.74567518700008,-73.78694472599993,Tuesday
2017-12-15,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.74643684200005,-73.89542079099994,Friday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.57460284100006,-73.98763652999997,Saturday
2017-12-28,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,K,40.69520561100006,-73.98398273499998,Thursday
2017-12-19,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.673722103000046,-73.90115145299995,Tuesday
2017-12-01,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,Q,40.75086299700007,-73.94544468299993,Friday
2017-12-26,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67358291200002,-73.90207814999997,Tuesday
2017-12-26,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,M,40.825817779000026,-73.94897843799998,Tuesday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,B,40.86559123400008,-73.89887415799996,Saturday
2017-12-08,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,K,40.63919835300004,-74.01646791399996,Friday
2017-12-28,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,K,40.69520561100006,-73.98398273499998,Thursday
2017-12-01,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,Q,40.75086299700007,-73.94544468299993,Friday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,B,40.86559123400008,-73.89887415799996,Saturday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,B,40.86559123400008,-73.89887415799996,Saturday
2017-12-27,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,Q,40.760347336000045,-73.83270525299997,Wednesday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67378484500005,-73.90070072999998,Saturday
2017-12-28,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,M,40.778830163000066,-73.95398640499997,Thursday
2017-12-08,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67309616500006,-73.90100097099996,Friday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.747448743000064,-73.88579032699994,Saturday
2017-12-14,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,M,40.84840119800003,-73.93767303599996,Thursday
